gene,log2FoldChange
AT1G26390,1.150112268
AT2G38640,0.748781576
AT4G23670,0.755962369
AT1G61660,0.747115218
AT2G23620,0.835031648
AT5G63710,0.721884572
AT1G36622,1.280321428
AT2G43000,1.282018389
AT3G09950,0.785909092
AT1G72450,0.823160647
AT3G60140,0.788429745
AT2G33850,0.732839442
AT4G24340,0.791329831
AT4G25434,1.294421055
AT1G66160,0.816295222
AT3G62740,0.75696677
AT5G10180,0.941519821
AT4G37800,0.832850793
AT5G38000,1.30502702
AT2G25460,0.799867612
AT3G49580,1.20589462
AT1G69880,0.923867641
AT1G60870,0.85160924
AT4G36500,0.794649631
AT3G19710,0.965359689
AT2G29470,0.795366045
AT5G40010,1.338428096
AT4G38420,0.934433641
AT3G59340,0.976493012
AT4G14370,0.863311117
AT2G26560,1.239284984
AT3G54150,1.352400756
AT1G67980,1.352773753
AT3G58550,0.78160257
AT1G21100,0.99177603
AT1G26380,1.365191831
AT1G24430,0.832635376
AT4G22610,0.87435346
AT4G29700,0.856155243
AT2G33080,1.400102887
AT1G61560,1.022666068
AT5G63560,0.834391031
AT5G64900,0.919405703
AT5G38020,0.869096261
AT4G31970,0.858698923
AT1G62540,0.905931065
AT3G05950,1.060577678
AT3G23570,0.833118774
AT5G57510,1.465807394
AT2G32660,1.063392363
AT3G21520,0.863715911
AT4G14060,1.081505537
AT4G36430,0.931021186
AT4G13280,0.994267189
AT3G53600,1.095929538
AT3G04000,0.932506063
AT3G05400,1.007009121
AT4G37050,1.014642854
AT3G16530,0.878079783
AT3G01290,0.944376237
AT2G43535,0.900146299
AT1G67105,1.114667789
AT3G25190,1.56103508
AT5G37990,0.920994907
AT1G23200,0.931241467
AT1G10585,0.901788161
AT5G18840,1.063656339
AT5G24770,0.985649749
AT1G14120,1.004566271
AT1G19570,1.00881816
AT3G45160,1.19545062
AT5G24780,1.100244108
AT5G14200,1.131026164
AT1G70850,1.051765154
AT1G45201,1.100174818
AT1G13520,1.202800792
AT1G77520,1.456996531
AT1G69230,1.343020671
AT1G52410,1.612169792
