"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008271","MF","GO:0008271","secondary active sulfate transmembrane transporter activity","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"AST91",1
"GO:0009044","MF","GO:0009044","xylan 1,4-beta-xylosidase activity","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"ATBXL2",1
"GO:0016634","MF","GO:0016634","oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"HEMG1",1
"GO:0044620","MF","GO:0044620","ACP phosphopantetheine attachment site binding","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"ACP4",1
"GO:0045551","MF","GO:0045551","cinnamyl-alcohol dehydrogenase activity","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"ATCAD2",1
"GO:0046556","MF","GO:0046556","alpha-L-arabinofuranosidase activity","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"ATBXL2",1
"GO:0051192","MF","GO:0051192","prosthetic group binding","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"ACP4",1
"GO:0140414","MF","GO:0140414","phosphopantetheine-dependent carrier activity","1/620","12/22005",0.290394779355041,0.887792227103396,0.838841277238046,"ACP4",1
"GO:0050661","MF","GO:0050661","NADP binding","3/620","67/22005",0.292460210295233,0.887792227103396,0.838841277238046,"GAPA-2/AtPLR1/G6PD1",3
"GO:0008236","MF","GO:0008236","serine-type peptidase activity","7/620","191/22005",0.293617150766272,0.887792227103396,0.838841277238046,"scpl4/NA/SPPA/DEG5/CLPR4/scpl6/DEG1",7
"GO:0017171","MF","GO:0017171","serine hydrolase activity","7/620","191/22005",0.293617150766272,0.887792227103396,0.838841277238046,"scpl4/NA/SPPA/DEG5/CLPR4/scpl6/DEG1",7
"GO:0016874","MF","GO:0016874","ligase activity","8/620","223/22005",0.293790237246014,0.887792227103396,0.838841277238046,"EMB2247/DFL2/EMB2761/ABAR/ATPD/CH-42/AAE14/ALB-1V",8
"GO:0016407","MF","GO:0016407","acetyltransferase activity","5/620","129/22005",0.298946317999619,0.887792227103396,0.838841277238046,"NA/NA/ATNSI/AtNAA70/NA",5
"GO:0042802","MF","GO:0042802","identical protein binding","13/620","388/22005",0.301134177533721,0.887792227103396,0.838841277238046,"AtPHOT2/RPS4/RPS5/PGR5-LIKE/ATSULA/LIL3:2/PDE320/AtCLA1/HLH1/ALB3/ATCRY1/DEG1/GT-1",13
"GO:0004519","MF","GO:0004519","endonuclease activity","6/620","162/22005",0.306720857895268,0.887792227103396,0.838841277238046,"PRORP2/NA/LIP2/RNE/RTL1/NA",6
"GO:0001228","MF","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","3/620","69/22005",0.307925085180334,0.887792227103396,0.838841277238046,"NF-YC12/NF-YC4/AKS2",3
"GO:0004337","MF","GO:0004337","geranyltranstransferase activity","1/620","13/22005",0.31039910967832,0.887792227103396,0.838841277238046,"PSY",1
"GO:0015037","MF","GO:0015037","peptide disulfide oxidoreductase activity","1/620","13/22005",0.31039910967832,0.887792227103396,0.838841277238046,"ATGRXCP",1
"GO:0015038","MF","GO:0015038","glutathione disulfide oxidoreductase activity","1/620","13/22005",0.31039910967832,0.887792227103396,0.838841277238046,"ATGRXCP",1
"GO:0016778","MF","GO:0016778","diphosphotransferase activity","1/620","13/22005",0.31039910967832,0.887792227103396,0.838841277238046,"ATCRSH",1
"GO:0031956","MF","GO:0031956","medium-chain fatty acid-CoA ligase activity","1/620","13/22005",0.31039910967832,0.887792227103396,0.838841277238046,"AAE14",1
"GO:0032440","MF","GO:0032440","2-alkenal reductase [NAD(P)+] activity","1/620","13/22005",0.31039910967832,0.887792227103396,0.838841277238046,"AOR",1
"GO:0019205","MF","GO:0019205","nucleobase-containing compound kinase activity","2/620","41/22005",0.321955585420511,0.887792227103396,0.838841277238046,"NA/AMK2",2
"GO:0002161","MF","GO:0002161","aminoacyl-tRNA editing activity","1/620","14/22005",0.329840386142463,0.887792227103396,0.838841277238046,"EMB2247",1
"GO:0015645","MF","GO:0015645","fatty acid ligase activity","1/620","14/22005",0.329840386142463,0.887792227103396,0.838841277238046,"AAE14",1
"GO:0016251","MF","GO:0016251","RNA polymerase II general transcription initiation factor activity","1/620","14/22005",0.329840386142463,0.887792227103396,0.838841277238046,"HAF2",1
"GO:0016833","MF","GO:0016833","oxo-acid-lyase activity","1/620","14/22005",0.329840386142463,0.887792227103396,0.838841277238046,"DHNS",1
"GO:0070300","MF","GO:0070300","phosphatidic acid binding","1/620","14/22005",0.329840386142463,0.887792227103396,0.838841277238046,"PDE320",1
"GO:0004540","MF","GO:0004540","ribonuclease activity","6/620","168/22005",0.336504234706912,0.887792227103396,0.838841277238046,"PRORP2/NA/LIP2/RNE/CCR4c/RTL1",6
"GO:0060089","MF","GO:0060089","molecular transducer activity","7/620","201/22005",0.338729615598782,0.887792227103396,0.838841277238046,"ARK2/AtPHOT2/LecRK-I.3/RPS5/LecRK-V.9/ATCRY1/APRR5",7
