From	To	Species	Gene Name
255340_at	AT4G04490	Arabidopsis thaliana	cysteine-rich RLK (RECEPTOR-like protein kinase) 36(CRK36)
245832_at	AT1G48850	Arabidopsis thaliana	chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase(EMB1144)
254688_at	AT4G13830	Arabidopsis thaliana	DNAJ-like 20(J20)
246622_at	AT5G36250	Arabidopsis thaliana	Protein phosphatase 2C family protein(PP2C74)
258817_at	AT3G04750	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G04750)
264701_at	AT1G70160	Arabidopsis thaliana	zinc finger MYND domain protein(AT1G70160)
245226_at	AT3G29970	Arabidopsis thaliana	B12D protein(AT3G29970)
266569_at	AT2G24080	Arabidopsis thaliana	F-box protein (DUF295)(AT2G24080)
257479_at	AT1G16150	Arabidopsis thaliana	wall associated kinase-like 4(WAKL4)
262934_s_at	AT1G16270	Arabidopsis thaliana	kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein(AT1G16270)
260408_at	AT1G69880	Arabidopsis thaliana	thioredoxin H-type 8(TH8)
256600_at	AT3G14850	Arabidopsis thaliana	TRICHOME BIREFRINGENCE-LIKE 41(TBL41)
253850_at	AT4G28090	Arabidopsis thaliana	SKU5 similar 10(sks10)
254304_at	AT4G22270	Arabidopsis thaliana	transmembrane protein, putative (DUF3537)(MRB1)
250320_at	AT5G12840	Arabidopsis thaliana	nuclear factor Y, subunit A1(NF-YA1)
262704_at	AT1G16530	Arabidopsis thaliana	ASYMMETRIC LEAVES 2-like 9(ASL9)
252501_at	AT3G46880	Arabidopsis thaliana	hypothetical protein(AT3G46880)
252742_at	AT3G43290	Arabidopsis thaliana	hypothetical protein(AT3G43290)
261333_at	AT1G44910	Arabidopsis thaliana	pre-mRNA-processing protein 40A(PRP40A)
266533_s_at	AT2G16850	Arabidopsis thaliana	plasma membrane intrinsic protein 2;8(PIP2;8)
261574_at	AT1G01190	Arabidopsis thaliana	cytochrome P450, family 78, subfamily A, polypeptide 8(CYP78A8)
263755_at	AT2G21340	Arabidopsis thaliana	MATE efflux family protein(AT2G21340)
248246_at	AT5G53200	Arabidopsis thaliana	Homeodomain-like superfamily protein(TRY)
246912_at	AT5G25820	Arabidopsis thaliana	Exostosin family protein(AT5G25820)
248487_at	AT5G51070	Arabidopsis thaliana	Clp ATPase(ERD1)
259011_s_at	AT3G07380	Arabidopsis thaliana	glycosyltransferase family protein (DUF23)(AT3G07380)
263996_at	AT2G22530	Arabidopsis thaliana	Alkaline-phosphatase-like family protein(AT2G22530)
263537_at	AT2G24790	Arabidopsis thaliana	CONSTANS-like 3(COL3)
249079_at	AT5G43930	Arabidopsis thaliana	Transducin family protein / WD-40 repeat family protein(AT5G43930)
257480_at	AT1G15640	Arabidopsis thaliana	transmembrane protein(AT1G15640)
246924_at	AT5G25060	Arabidopsis thaliana	RNA recognition motif (RRM)-containing protein(RRC1)
261586_at	AT1G01640	Arabidopsis thaliana	BTB/POZ domain-containing protein(AT1G01640)
251427_at	AT3G60130	Arabidopsis thaliana	beta glucosidase 16(BGLU16)
253849_at	AT4G28080	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G28080)
248234_at	AT5G53850	Arabidopsis thaliana	haloacid dehalogenase-like hydrolase family protein(AT5G53850)
249583_at	AT5G37770	Arabidopsis thaliana	EF hand calcium-binding protein family(TCH2)
259042_at	AT3G03450	Arabidopsis thaliana	RGA-like 2(RGL2)
259271_at	AT3G01170	Arabidopsis thaliana	Ribosomal protein L34e superfamily protein(AT3G01170)
254808_at	AT4G12740	Arabidopsis thaliana	HhH-GPD base excision DNA repair family protein(AT4G12740)
