gene	A_1	A_2	A_3
AT3G12700	34.33858923	31.2748287	21.59098356
AT3G12710	30.92163588	32.17871148	24.4500732
AT3G12720	3.271996257	3.272746583	1.805162068
AT3G12730	9.938206194	10.53773246	10.35661462
AT3G12740	68.25991821	62.50553835	51.08856352
AT3G12750	11.25203893	10.18599881	8.352253309
AT3G12760	34.01868478	30.55192526	26.56167043
AT3G12770	0.641934504	0.46610376	0.708311212
AT3G12775	0.132631096	0.1375749	0
AT3G12780	462.9233564	439.5735866	478.285296
AT3G12800	161.5094845	187.8641876	171.0925111
AT3G12810	14.60115241	14.60757405	15.28707282
AT3G12820	0.774155317	0.917727815	0.854203797
AT3G12830	10.79198999	6.900571095	11.58164954
AT3G12833	0.280456822	0	0.309456355
AT3G12835	0	0	0
AT3G12840	0.26747271	0	0.295129671
AT3G12850	0	0	0
AT3G12860	15.78443727	14.06789106	12.25923251
AT3G12870	5.326246154	5.849768295	8.469773436
AT3G12880	0	0	0.193645228
AT3G12890	0.417845506	0	0
AT3G12900	0	0	0
AT3G12910	0	0	0
AT3G12915	5.481700455	5.581699178	5.438113585
AT3G12920	28.07713531	27.44349242	23.73173545
AT3G12930	65.40923542	68.98234763	77.27031399
AT3G12940	7.378354137	7.102778201	7.61415029
AT3G12950	18.13149762	17.52793511	15.85534384
AT3G12955	8.024181297	7.511253975	4.534919342
AT3G12960	3.07309071	4.383004584	7.629415976
AT3G12970	5.704803939	5.110524685	5.531694381
AT3G12977	0.540551135	0.448560077	0.835022574
AT3G12980	15.22638016	14.47996935	14.28487661
AT3G12990	17.22112755	15.27002017	17.06076524
AT3G13000	11.90153756	11.32028389	11.29862101
AT3G13010	0.076299664	0	0.168378259
AT3G13020	1.583246534	1.343668751	0.714663779
AT3G13030	11.61787284	9.749745186	9.598275412
AT3G13040	43.04320781	48.79487739	48.59682783
AT3G13050	9.395239302	9.539555723	10.00169175
AT3G13060	24.62823512	21.25779911	22.66203461
AT3G13062	23.75909931	22.49887012	21.51218621
AT3G13065	1.25929153	0.908682734	0.785371605
AT3G13070	38.76975568	35.75292711	36.75429311
AT3G13075	0	0	0
AT3G13080	102.6399188	105.4272452	64.55817304
AT3G13090	0.400097682	0.223467603	0.135836371
AT3G13100	1.569632566	1.386934398	0.994258543
AT3G13110	79.1966465	88.7583541	72.90508912
AT3G13120	168.1024406	158.1639101	177.020459
AT3G13130	1.873570633	1.413387413	1.879363474
AT3G13140	0.410911133	0	0.45339978
AT3G13150	13.25422804	15.30889263	14.86188703
AT3G13160	25.139049	23.61072619	26.72978227
