"","gene","Control_1","Control_2","Control_3","A_1","A_2","A_3","wtavg","abaavg","log2FoldChange"
"170","AT1G02620",1.134955454,0.753717556,0.877530881,0.313308597,0.324987128,0.115235013,0.922067963666667,0.251176912666667,-1.8761692298851
"171","AT1G02630",0.088033841,0.146156952,0.085083091,0,0,0,0.106424628,0,-Inf
"172","AT1G02640",32.43439106,42.75947331,43.49224851,8.698409297,7.023612893,7.413895751,39.5620376266667,7.711972647,-2.35894489372627
"173","AT1G02650",3.19499438,3.536296436,3.325434419,0.829221241,0.469162001,0.748606578,3.352241745,0.68232994,-2.2965847650079
"174","AT1G02660",12.26111306,12.28716089,15.05288129,21.5992213,28.30852861,21.47738165,13.20038508,23.7950438533333,0.850081097012474
"175","AT1G02670",0.984264834,1.075073618,1.151542071,2.192746572,2.966714174,2.892855196,1.07029350766667,2.684105314,1.32643479587203
"176","AT1G02680",20.07482178,13.93494541,16.89307416,18.47242618,19.9868875,20.55820578,16.9676137833333,19.6725064866667,0.213397096283943
"177","AT1G02690",18.26677914,17.14144059,15.90999009,13.75257567,10.26818804,12.75546639,17.10606994,12.2587433666667,-0.48069724656571
"178","AT1G02700",2.662374487,2.113994318,2.237509603,9.479895604,10.05422934,19.03978146,2.33795946933333,12.8579688013333,2.45934093052665
"179","AT1G02705",16.94920096,16.21089881,22.43497305,14.91819622,19.34283713,22.82059009,18.53169094,19.0272078133333,0.0380693385842331
"180","AT1G02710",0,0,0,0,0,6.024296387,0,2.00809879566667,Inf
"181","AT1G02720",9.783685105,10.39162913,10.63037954,9.002739992,7.076239266,8.761340771,10.2685645916667,8.28010667633333,-0.31051326638577
"182","AT1G02730",11.51738337,15.3370961,13.64362098,11.11323555,11.87101387,14.25194342,13.4993668166667,12.41206428,-0.121148666255216
"183","AT1G02740",14.73420043,11.23266574,12.78723879,10.23774855,11.00203867,11.60164916,12.9180349866667,10.94714546,-0.238831906011086
"184","AT1G02750",15.65374191,18.54662814,16.91703317,14.66613735,14.66950055,11.99248584,17.0391344066667,13.7760412466667,-0.306690680659563
"185","AT1G02770",2.418752998,4.015700775,3.075895197,1.757119992,3.159201711,4.653139346,3.17011632333333,3.18982034966667,0.00893939467980309
