"","gene","log2FoldChange"
"2197","AT1G25360",-0.805338415305366
"2198","AT1G25370",0.0465067005548353
"2199","AT1G25375",0.371479085563251
"2200","AT1G25380",0.0854577210802816
"2201","AT1G25390",-0.593769655739889
"2202","AT1G25400",-0.391567812520021
"2203","AT1G25420",0.201592148901472
"2204","AT1G25422",1.75579597477613
"2205","AT1G25425",0.339532239490942
"2206","AT1G25440",0.451266800687587
"2207","AT1G25450",-0.678716233426846
"2208","AT1G25460",-0.853250711937648
"2209","AT1G25470",-0.148577772257625
"2210","AT1G25480",-0.0956859625483069
"2211","AT1G25490",-0.0806826557272874
"2212","AT1G25500",-0.21276117866289
"2213","AT1G25510",0.379064971913732
"2214","AT1G25520",-0.126445026972058
"2215","AT1G25530",0.785957776412713
"2216","AT1G25540",0.0417388823450054
"2217","AT1G25550",-0.205834906842375
"2218","AT1G25560",-0.240519256337307
"2219","AT1G25570",-0.260374282014605
"2220","AT1G25580",0.0217888514884904
"2221","AT1G25682",0.0411396139614334
"2222","AT1G26090",0.245111739729594
"2223","AT1G26100",-0.165309750142549
"2224","AT1G26110",-0.0561326308403164
"2225","AT1G26120",0.265526339410292
"2226","AT1G26130",0.363761209382199
"2227","AT1G26150",-0.101091852802409
"2228","AT1G26160",0.0167854535647826
"2229","AT1G26170",-0.27233167883029
"2230","AT1G26180",-0.0994270663053085
"2231","AT1G26190",-0.151452595419571
"2232","AT1G26200",-0.199865033638184
"2233","AT1G26210",0.721903600182298
"2234","AT1G26220",0.311327332990938
"2235","AT1G26230",-0.34971649042576
"2236","AT1G26250",-3.67077382262717
"2237","AT1G26255",-5.64302721818696
"2238","AT1G26260",0.0294518065552849
"2239","AT1G26270",0.467839669108962
"2240","AT1G26300",0.108570300647987
"2241","AT1G26290",0.613990756532493
"2242","AT1G26310",-1.84999321104232
"2243","AT1G26330",0.0241073531996589
"2244","AT1G26340",-0.899044465024238
"2245","AT1G26360",-1.61511480401548
"2246","AT1G26370",-0.219300584296236
"2247","AT1G26380",-1.15525816860317
"2248","AT1G26410",1.27995401067852
"2249","AT1G26420",-0.194001785900995
"2250","AT1G26440",0.201036920302399
"2251","AT1G26450",1.15012673175778
"2252","AT1G26460",-0.312810341930994
"2253","AT1G26470",-0.386751348789441
"2254","AT1G26500",-0.841822907835651
"2255","AT1G26510",-0.646196110316795
"2256","AT1G26520",-0.553294098090395
"2257","AT1G26530",0.189967649125556
"2258","AT1G26540",-1.02158312958103
"2259","AT1G26550",0.241099571249188
"2260","AT1G26560",0.73196384790738
"2261","AT1G26570",-0.782724729549611
"2262","AT1G26580",0.126583696160988
"2263","AT1G26590",0.251410459648258
"2264","AT1G26600",-1.23234352979458
"2265","AT1G26610",-0.137313525848177
"2266","AT1G26620",0.258710731006863
"2267","AT1G26630",-0.522654646502733
"2268","AT1G26640",0.189119044757483
"2269","AT1G26650",-0.0580974813194495
"2270","AT1G26660",-0.30180705968192
"2271","AT1G26665",0.481441148657089
"2272","AT1G26670",0.476503578244632
"2273","AT1G26680",1.24173449954689
"2274","AT1G26690",1.0391151206355
"2275","AT1G26700",0.472677096351104
"2276","AT1G26720",-1.60299231957858
"2277","AT1G26730",0.337481930533097
"2278","AT1G26740",-0.633520734252411
"2279","AT1G26750",-0.503403734235665
"2280","AT1G26760",1.15895798535683e-06
"2281","AT1G26761",0.330164030888072
"2282","AT1G26762",-0.637243691781858
"2283","AT1G26770",-0.22875012023105
"2284","AT1G26780",0.934003662578587
"2285","AT1G26790",1.50036130336929
"2286","AT1G26800",0.760501763393688
"2287","AT1G26810",0.145167682548014
"2288","AT1G26820",0.850070101195703
"2289","AT1G26830",0.22159126948221
"2290","AT1G26840",-0.949871623972074
"2291","AT1G26850",-0.0452304631744684
"2292","AT1G26870",-0.465146273773295
"2293","AT1G26880",-0.927808198826164
"2294","AT1G26890",-0.183853771361329
"2295","AT1G26900",-0.161289923688538
"2296","AT1G26910",-0.746967951039407
"2297","AT1G26920",0.678210394033024
"2298","AT1G26930",1.35180434028229
"2299","AT1G26940",0.306679372723309
"2300","AT1G26945",-1.4495727720141
"2301","AT1G26960",-0.523725938928086
"2302","AT1G26970",0.551297227366197
"2303","AT1G27000",0.102025627829082
"2304","AT1G27020",-5.19019394175948
"2305","AT1G27030",-0.378363798859906
"2306","AT1G27045",-2.38202583477847
"2307","AT1G27050",-0.835262090760785
"2308","AT1G27060",-0.920710951014851
"2309","AT1G27070",-0.190557442200555
"2310","AT1G27090",-0.365291545105758
"2311","AT1G27100",-0.292178368495762
"2312","AT1G27110",-0.260145014815081
"2313","AT1G27120",0.122520668369813
"2314","AT1G27130",-0.373334976013331
"2315","AT1G27140",-0.126495392860583
"2316","AT1G27150",1.32603911540772
"2317","AT1G27170",0.724090327469218
"2318","AT1G27180",-0.0745145625770638
"2319","AT1G27190",0.114969232048708
"2320","AT1G27200",1.50497193481941
"2321","AT1G27210",-0.207522666736617
"2322","AT1G27290",0.678179210029041
"2323","AT1G27300",0.632903669708352
"2324","AT1G27310",-0.187022963599479
"2325","AT1G27320",0.512397145530705
"2326","AT1G27330",0.0813956865815748
"2327","AT1G27340",0.116698861928065
"2328","AT1G27350",0.426480994379676
"2329","AT1G27360",-0.186121448941739
"2330","AT1G27370",-0.347319527920515
"2331","AT1G27380",0.954249941991002
"2332","AT1G27385",-0.148898903641067
"2333","AT1G27390",-0.645612209675251
"2334","AT1G27400",-0.815337897873055
"2335","AT1G27410",0.0459132227700423
"2336","AT1G27420",-0.522644026462502
"2337","AT1G27430",0.0309064903242271
"2338","AT1G27435",-0.56139603733476
"2339","AT1G27440",-0.0273709733421991
"2340","AT1G27450",-0.315902518828217
"2341","AT1G27460",-0.252171249051736
